firm_num,round,firm_id,price,price_reason,profit,sale_num,revenue,share_rate,share_rate_predicted,vector_intersection,matrix_intersection,expert_label
10,9,F3,0.85,"Change price: -0.05, reason: Sales dropped at 0.90, so slight decrease to 0.85 to increase purchase likelihood and maximize profit in competitive market.",1.7,2,1.7,1.0,"[1.0, 'adaptive']","[2, 3, 1, 3, 3, 2, 1, 2]","[[0, 0, 1, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 1, 0, 1, 1, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0, 1, 0], [1, 0, 1, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",1
4,8,F0,0.55,"Change price: 0, reason: High share rate of 0.95 sustains stable sales at current price, avoiding revenue drops from past increases in competitive market.",3.3,6,3.3,0.95,"[0.95, 'adaptive']","[3, 3, 1, 2, 3, 1, 2, 1]","[[0, 0, 1, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 1, 0, 1, 1, 1], [0, 0, 1, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 1, 0, 0, 1, 1], [0, 0, 1, 1, 0, 1, 0, 1], [1, 0, 1, 1, 0, 1, 1, 0]]",1
8,6,F4,0.8,"Change price: 0.05, reason: High share rate of 1.0 increases purchase likelihood via recommendations, allowing a slight increase to maximize profit in competitive market with 8 firms.",0.8,1,0.8,1.0,"[1.0, 'adaptive']","[1, 1, 2, 3, 3, 2, 1, 3]","[[0, 1, 1, 0, 0, 1, 1, 0], [1, 0, 1, 0, 0, 0, 1, 0], [1, 1, 0, 1, 0, 1, 1, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0, 1, 0], [1, 1, 1, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",1
3,7,F2,0.6,"Change price: 0.00, reason: Historical data with share rate 0.7 shows price of 0.60 yields high profit of 4.2, as in Round 6, maintaining optimal sales.",3.6,6,3.6,0.65,"[0.7, 'adaptive']","[3, 3, 3, 3, 3, 1, 2, 2]","[[0, 0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 1, 0, 1], [1, 0, 0, 0, 0, 1, 1, 0]]",1
5,4,F4,0.6,"Change price: -0.05, reason: Sales dropped to 1 at 0.65, so slight decrease to boost volume despite high share rate.",1.2,2,1.2,1.0,"[1.0, 'adaptive']","[2, 3, 3, 3, 1, 1, 2, 1]","[[0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [1, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",1
10,7,F5,0.9,"Change price: 0.05, reason: High share rate of 1.0 boosts purchase likelihood through recommendations in a competitive 10-firm market, justifying a slight price increase to maximize profit.",1.8,2,1.8,1.0,"[1.0, 'adaptive']","[1, 2, 1, 3, 3, 2, 1, 3]","[[0, 1, 1, 0, 0, 1, 1, 0], [1, 0, 1, 0, 0, 0, 1, 0], [1, 1, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0, 1, 0], [1, 1, 1, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",1
8,1,F5,0.55,"Change price: 0.05, reason: Moderate share rate increases buy likelihood with competition.",2.2,4,2.2,1.0,"[0.35158556468606605, 'adaptive']","[3, 3, 1, 2, 3, 2, 3, 3]","[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 1, 0, 0], [0, 0, 1, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",0
10,7,F7,0.85,"Change price: 0.05, reason: High share rate of 1.0 increases purchase likelihood via personalized recommendations in competitive market.",0.85,1,0.85,1.0,"[1.0, 'adaptive']","[1, 1, 2, 3, 3, 2, 3, 3]","[[0, 1, 1, 0, 0, 1, 0, 0], [1, 0, 1, 0, 0, 1, 0, 0], [1, 1, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",0
7,2,F6,0.5,"Change price: 0.10, reason: High share rate of 1.0 boosts purchase likelihood through recommendations, allowing price increase to maximize profit.",2.0,4,2.0,1.0,"[1.0, 'adaptive']","[1, 1, 3, 3, 3, 2, 1, 3]","[[0, 1, 0, 0, 0, 1, 1, 0], [1, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 1, 0], [1, 1, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",0
9,3,F3,0.65,"Change price: 0.05, reason: High share rate and competition enhance purchase likelihood through recommendations, justifying a price hike.",1.3,2,1.3,1.0,"[1.0, 'adaptive']","[2, 1, 1, 3, 3, 2, 2, 3]","[[0, 1, 1, 0, 0, 1, 1, 0], [1, 0, 1, 0, 0, 1, 1, 0], [1, 1, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 1, 0, 0, 0, 1, 0], [1, 1, 1, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",1
4,3,F1,0.7,"Change price: 0.05, reason: High share rate of 0.95 enhances purchase likelihood through personalized recommendations, justifying a slight price increase despite competition.",0.7,1,0.7,0.95,"[0.95, 'adaptive']","[1, 1, 2, 3, 3, 2, 3, 3]","[[0, 1, 1, 0, 0, 1, 0, 0], [1, 0, 1, 0, 0, 1, 0, 0], [1, 1, 0, 1, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",1
5,9,F3,0.5,"Change price: 0, reason: High share rate of 1.0 in competitive 5-firm market sustains sales and profit at basic price of 0.50, as seen in Round8.",1.5,3,1.5,1.0,"[1.0, 'adaptive']","[3, 3, 1, 3, 3, 1, 2, 2]","[[0, 0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0, 1, 0], [1, 0, 1, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",1
9,6,F7,0.8,"Change price: 0, reason: High share rate sustains sales at 0.80, maximizing profit as in Round 5.",1.6,2,1.6,1.0,"[1.0, 'adaptive']","[3, 3, 3, 3, 3, 2, 1, 3]","[[0, 0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",1
10,9,F9,0.75,"Change price: 0, reason: Stable sales of 3 at 0.75 maximize profit with high share rate, avoiding risk of drop as in Round6.",2.25,3,2.25,1.0,"[1.0, 'adaptive']","[3, 3, 3, 2, 3, 2, 1, 1]","[[0, 0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 1, 0, 0, 1, 1], [1, 0, 0, 1, 0, 1, 0, 1], [1, 0, 0, 1, 0, 1, 1, 0]]",1
4,10,F0,0.55,"Change price: 0, reason: High share rate of 0.95 maintains stable sales at current price, avoiding revenue drops from past increases in competitive market.",3.3,6,3.3,0.95,"[0.95, 'adaptive']","[3, 3, 2, 1, 3, 1, 2, 1]","[[0, 1, 0, 0, 0, 1, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 1, 0, 0], [0, 0, 1, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 1, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 1, 0, 1, 0, 0]]",1
6,9,F1,0.75,"Change price: -0.05, reason: High share rate of 1.0 boosts purchase likelihood, but recent sales at 0.80 are low, so slight decrease to potentially increase sales and maximize profit in competitive market.",1.5,2,1.5,1.0,"[1.0, 'adaptive']","[2, 3, 1, 3, 3, 2, 1, 2]","[[0, 0, 1, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0, 1, 1], [1, 0, 1, 0, 0, 1, 0, 1], [1, 0, 1, 0, 0, 1, 1, 0]]",1
10,4,F5,0.75,"Change price: 0.05, reason: High share rate of 1.0 enhances purchase likelihood via recommendations in a competitive 10-firm market, justifying a slight price increase to maximize profit.",1.5,2,1.5,1.0,"[1.0, 'adaptive']","[1, 2, 1, 3, 3, 2, 1, 3]","[[0, 1, 1, 0, 0, 1, 1, 0], [1, 0, 1, 0, 0, 0, 1, 0], [1, 1, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0, 1, 0], [1, 1, 1, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",0
5,8,F1,0.8,"Change price: 0, reason: Maintain optimal price for consistent sales and profit.",4.0,5,4.0,1.0,"[1.0, 'adaptive']","[1, 3, 3, 3, 3, 2, 1, 2]","[[0, 0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 1, 0, 1], [1, 0, 0, 0, 0, 1, 1, 0]]",1
8,1,F0,0.55,"Change price: 0.05, reason: Moderate share rate and high competition increase purchase likelihood, allowing slight price increase.",1.65,3,1.65,1.0,"[0.464962975316935, 'adaptive']","[2, 3, 1, 3, 3, 2, 1, 3]","[[0, 0, 1, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 1, 0, 1, 1, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0, 1, 0], [1, 0, 1, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",1
10,10,F8,0.75,"Change price: 0, reason: Stable sales of 2 units and profit of 1.5 at 0.75 with high share rate and competition justify maintaining price to avoid sales risk.",1.5,2,1.5,1.0,"[1.0, 'adaptive']","[2, 3, 1, 2, 3, 1, 3, 2]","[[0, 0, 1, 1, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 1, 0, 1, 0, 1], [1, 0, 1, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 1, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 1, 0, 1, 0, 0]]",1
4,9,F3,0.7,"Change price: 0.00, reason: Historical data shows 0.70 maximizes sales and profit with high share rate of 0.95.",3.5,5,3.5,0.95,"[0.95, 'adaptive']","[3, 3, 3, 3, 3, 2, 1, 2]","[[0, 0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",1
8,4,F1,0.7,"Change price: 0.05, reason: High share rate of 1.0 sustains sales in competitive market, enabling slight price increase to boost profit.",2.8,4,2.8,1.0,"[1.0, 'adaptive']","[1, 3, 2, 3, 3, 2, 1, 3]","[[0, 0, 1, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 1, 0, 1, 1, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0, 1, 0], [1, 0, 1, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",1
4,9,F0,0.55,"Change price: 0, reason: High share rate of 0.95 sustains stable sales at current price, avoiding revenue drops from past increases in competitive market.",3.3,6,3.3,0.95,"[0.95, 'adaptive']","[3, 3, 1, 2, 3, 1, 2, 1]","[[0, 0, 1, 1, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 1, 0, 1, 1, 1], [1, 0, 1, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 1, 0, 0, 1, 1], [1, 0, 1, 1, 0, 1, 0, 1], [1, 0, 1, 1, 0, 1, 1, 0]]",1
10,8,F6,0.95,"Change price: 0.05, reason: High share rate and personalized recommendations in competitive market maintain purchase likelihood, justifying a slight price increase to further maximize profit.",1.9,2,1.9,1.0,"[1.0, 'adaptive']","[2, 2, 1, 3, 3, 3, 1, 3]","[[0, 1, 1, 0, 0, 1, 1, 0], [1, 0, 1, 0, 0, 0, 1, 0], [1, 1, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 1, 0], [1, 1, 1, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",1
9,4,F5,0.7,"Change price: 0.05, reason: High share rate of 1.0 enhances purchase likelihood through recommendations in competitive 9-firm market, justifying a slight price increase to maximize profit.",2.1,3,2.1,1.0,"[1.0, 'adaptive']","[1, 1, 2, 3, 3, 2, 1, 3]","[[0, 1, 1, 0, 0, 1, 1, 0], [1, 0, 1, 0, 0, 0, 1, 0], [1, 1, 0, 1, 0, 1, 1, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0, 1, 0], [1, 1, 1, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",1
10,10,F3,0.85,"Change price: 0, reason: High share rate of 1.0 sustains sales at 2 with current price, maximizing profit in competitive market.",1.7,2,1.7,1.0,"[1.0, 'adaptive']","[3, 3, 2, 3, 3, 2, 1, 1]","[[0, 0, 1, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0, 1, 1], [1, 0, 1, 0, 0, 1, 0, 1], [1, 0, 0, 0, 0, 1, 1, 0]]",1
6,5,F0,0.8,"Change price: 0.05, reason: High share rate of 1.0 in competitive market reduces consumer search, maintaining sales and enabling price increase to boost profit.",2.4,3,2.4,1.0,"[1.0, 'adaptive']","[1, 3, 2, 3, 3, 2, 1, 3]","[[0, 0, 1, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 1, 0], [1, 0, 1, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",0
10,1,F5,0.6,"Change price: 0.10, reason: High share rate of 0.79 increases purchase likelihood through recommendations in a competitive 10-firm market, allowing for a moderate price increase.",1.2,2,1.2,1.0,"[0.7901759693404508, 'adaptive']","[2, 1, 2, 3, 3, 2, 1, 3]","[[0, 1, 1, 0, 0, 1, 1, 0], [1, 0, 1, 0, 0, 1, 1, 0], [1, 1, 0, 1, 0, 1, 1, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 1, 0, 0, 0, 1, 0], [1, 1, 1, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",1
9,8,F7,0.85,"Change price: 0, reason: Stable sales and higher profit at 0.85 with high share rate.",1.7,2,1.7,1.0,"[1.0, 'adaptive']","[1, 3, 3, 3, 3, 1, 2, 3]","[[0, 0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",1
7,1,F5,0.4,"Change price: -0.10, reason: Low share rate (0.01) increases competition, reducing buyer likelihood, so lower price to attract more sales.",0.4,1,0.4,1.0,"[0.010863796589681063, 'adaptive']","[3, 3, 1, 2, 3, 2, 3, 1]","[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 1, 0, 1], [0, 0, 1, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 1, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 1, 0, 1, 0, 0]]",0
10,2,F0,0.5,"Change price: -0.05, reason: High share rate of 1.0 increases purchase likelihood, but zero sales at previous price necessitate a slight decrease to stimulate demand in competitive market.",0.0,0,0.0,1.0,"[1.0, 'adaptive']","[3, 3, 1, 3, 3, 2, 3, 1]","[[0, 0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 1, 0, 0]]",1
9,1,F7,0.6,"Change price: 0.10, reason: High share rate increases purchase likelihood, justifying a slight price increase in competitive market.",1.2,2,1.2,1.0,"[0.4160502085266109, 'adaptive']","[1, 3, 1, 3, 3, 2, 2, 3]","[[0, 0, 1, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",1
9,8,F4,0.6,"Change price: 0, reason: High share rate of 1.0 and consistent 3 sales at 0.60 maximize profit in competitive market.",1.8,3,1.8,1.0,"[1.0, 'adaptive']","[3, 3, 1, 3, 3, 2, 1, 2]","[[0, 0, 1, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0, 1, 1], [1, 0, 1, 0, 0, 1, 0, 1], [1, 0, 1, 0, 0, 1, 1, 0]]",1
